time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,5.41222382999e-08,1.74301615606e-07,10.0030035971,0.000180419527501,6.28310219003,0.0,5.886197238e-06,1.56180121199e-05,0.100115636753,0.00842924598051,-0.00431095139975,0.0,437.04399006255744,436.684629359495,436.6577202866001,437.3601564246808
0.12000000000000001,2.91981838619e-06,6.98153469407e-06,10.0122126341,0.000846300272681,6.28306149626,0.0,0.000104185640526,0.000272117036774,0.206838192049,0.0159625877041,0.00574502877754,0.0,438.4848404673843,439.31930642753446,438.87846889398156,439.5030593634786
0.18,1.06009212114e-05,4.87324896826e-05,10.0316893251,0.00136249260989,0.000274383911411,0.0,0.00010643290178,0.00121814178895,0.442322820295,-0.0132066072849,0.00836265165377,0.0,478.6218450694412,478.82088132330637,478.4501150489109,476.2244730365213
0.23999999999999996,8.81812348366e-06,0.000148654865334,10.0624629899,0.000777347174062,0.000907906122672,0.0,-0.000227546193944,0.00203890609302,0.583404068714,-0.00361128558247,0.0146240938988,0.0,450.5897995239799,451.095503801914,448.7125816815725,449.49085685064443
0.3,-3.75726677621e-05,0.000292945555822,10.1093753274,0.000683297452771,0.00237927718717,0.0,-0.00149728842347,0.002748336829,0.980086965691,0.00223555431994,0.0392607099289,0.0,521.6684189977975,523.3856444296108,523.3420729654339,523.7488526761362
0.36000000000000004,-0.000202504008463,0.000476695202399,10.1772383935,0.000486892038591,0.00453433063997,0.0,-0.00429830852268,0.00337665244255,1.28172607028,-0.0175565350408,0.0282163690923,0.0,498.93775408039386,498.1312852684514,497.70093596859834,496.2504765060746
0.4200000000000001,-0.000549677654975,0.00068495867193,10.2549161639,6.28291708526,0.00602274958794,0.0,-0.00741974765099,0.00348451684197,1.30750294058,-0.0041423799127,0.0169271316206,0.0,414.3380520355683,413.34460133299814,414.28186182512627,415.45963494855926
0.48000000000000015,-0.00114401340818,0.000886418705416,10.3397096174,6.28257554003,0.0071219198781,0.0,-0.0125152584145,0.0031961846853,1.51868836098,-0.00898834237689,0.0209680010236,0.0,472.4625463416836,472.7738804966522,472.63682865291923,472.2633330527674
0.5400000000000001,-0.0021130710033,0.00105703569359,10.4428494483,6.28192490318,0.00821672071609,0.0,-0.0199555413089,0.00240479569358,1.91872278739,-0.0148405939676,0.0121574918044,0.0,526.4151450502299,525.8050678285306,525.4457905756155,525.0401051744502
0.6000000000000002,-0.0035386861328,0.00116231161326,10.5676135611,6.28088607114,0.00916332413486,0.0,-0.0276741457328,0.0009760539235,2.23950886713,-0.0227862388399,0.0221781622698,0.0,504.54298046510183,505.2657559595045,506.3067863113902,505.73495607304096
0.6600000000000003,-0.00537036247953,0.00117457542443,10.7024873983,6.2795947349,0.0108306088771,0.0,-0.0335175237678,-0.000686276633174,2.25625099292,-0.0191073730085,0.0371407242711,0.0,413.68875269528223,415.0043805806458,414.8541581320837,415.1770070522239
0.7200000000000003,-0.0076353926623,0.00104826723944,10.8427721151,6.27896024216,0.0132752374903,0.0,-0.0422408465113,-0.00361753059748,2.41957158465,0.00257297522811,0.0471185702102,0.0,460.8719182510306,461.660639548472,460.5961236999299,462.3075789988422
0.7800000000000004,-0.0104814975456,0.000736340488299,10.9928801285,6.27879573869,0.0158866738784,0.0,-0.0529288275474,-0.00677573463417,2.58366814252,-0.0163585323882,0.0351415870383,0.0,462.60672679877155,461.6636618917092,463.19913407414793,461.7080249751465
0.8400000000000004,-0.0139857887514,0.000237541691532,11.1504066537,6.27752978619,0.0182899095941,0.0,-0.0641037472459,-0.00995957578357,2.66702049436,-0.0328442558801,0.0484093549177,0.0,436.69138920493924,437.7975432526847,439.578152302819,438.2098694285724
0.9000000000000005,-0.0182156501075,-0.000482594290131,11.3131350965,6.27561359164,0.0213539720727,0.0,-0.0771880432279,-0.0142389037336,2.75704043128,-0.0301806794768,0.0559133541018,0.0,439.8513385990856,440.47402822987215,440.94884678813685,441.1684463727076
0.9600000000000005,-0.0234400265707,-0.00155044642026,11.4878890592,6.27360138778,0.0244369581816,0.0,-0.0973717340811,-0.0216028731643,3.06730036804,-0.0412726156951,0.0402929271221,0.0,506.465383669284,505.3419942994097,506.39024203569835,505.5914194215173
1.0200000000000005,-0.029776807685,-0.00304561318624,11.674108118,6.271371625,0.0273917187102,0.0,-0.114116620465,-0.0284633241064,3.13979469978,-0.0300030831413,0.062891380872,0.0,436.2843914118397,438.16864917738764,436.78579071207884,437.72394720506753
1.0800000000000005,-0.0372249238796,-0.00501153722363,11.8662161303,6.2705794154,0.0314907992603,0.0,-0.13456124609,-0.0371870123679,3.26344549118,0.00821947039943,0.0774097973977,0.0,453.6060587304531,454.7738319581786,451.69403974955884,454.76606132276646
1.1400000000000006,-0.0459523721174,-0.00749533576277,12.0645668021,6.2713257196,0.0358886709129,0.0,-0.156798136362,-0.045540117864,3.34798290576,0.019765275747,0.0634567693882,0.0,442.5806849410791,441.4349024830911,442.0930653047173,443.04329050617076
1.2000000000000006,-0.056121229589,-0.010469750475,12.2685732033,6.27217447937,0.0394287081513,0.0,-0.182531298546,-0.0534954394399,3.45190630614,-0.000522064747738,0.0481368451984,0.0,449.6427320973736,448.4022178449581,449.63154077437474,447.9848123865585
1.2600000000000007,-0.0679793600289,-0.0139291454646,12.4806866453,6.27179589079,0.0424862244823,0.0,-0.213052155812,-0.0618307044848,3.61801327433,-0.0215815709866,0.056075108551,0.0,468.23708013981013,468.8557516341508,469.3221339452536,467.684762239168
