time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4,episode,total_reward
2.1000000000000014,18.312414437,17.3798618691,0.0,5.23099297446,1.50100451476,0.0,17.1058334159,9.35790694098,-12.0833253251,25.7339233154,-11.1466618741,0.0,804.651520918,727.544871283,98.068861498,821.042036024,1,-44.0207021431
1.9200000000000013,16.2161998144,14.0575914089,0.0,1.63488843007,0.873558591435,0.0,14.968255741,7.95390371164,-13.3099148773,25.3340194808,-8.2915113768,0.0,796.685988754,829.551205949,181.27786885,834.173491179,2,-39.7588983497
1.8000000000000012,-2.96348372761,-6.64292049674,0.0,0.529134234669,0.232852268339,0.0,-3.94231516983,-4.50059242892,-13.113868106,23.0655229657,-22.636106792,0.0,820.023640449,480.372825312,216.1793637,720.205900203,3,-37.7698585513
1.740000000000001,-15.032878379,-0.0663196311796,0.0,4.98041218985,3.50072616305,0.0,-7.56382991965,-0.32095151761,-13.0695449217,22.7312057527,-10.6814895126,0.0,871.910352509,838.308646966,137.197770367,690.713863112,4,-37.7775864536
1.5000000000000009,0.236590451795,-1.63170465311,0.0,2.70376635442,0.531962187288,0.0,-3.08981984866,-1.04641016609,-13.4932972179,18.9933787516,-6.62249587919,0.0,705.626030012,641.736082806,345.487468168,641.227740506,5,-32.286543048
1.740000000000001,18.3259401452,-2.20950669209,0.0,0.797173977163,2.76882755079,0.0,26.9209514596,-0.154392407416,-14.3755877607,27.7307272538,-5.12932346967,0.0,887.416663273,879.355073605,45.8706951103,873.753342396,6,-36.1842761071
1.8000000000000012,10.9405932586,-1.37835185904,0.0,2.90282988638,5.60104158063,0.0,17.3116484297,-0.544438865039,-12.1974862592,27.5333072066,-8.92788096651,0.0,890.943367214,781.512035368,48.9654550371,867.308634802,7,-37.743787033
1.8000000000000012,9.40896586659,-0.341633745912,0.0,5.64005850307,5.53671912276,0.0,16.0941373514,-0.977935962236,-13.6368785817,27.9544078184,-4.36902897465,0.0,895.077636637,850.454704039,32.6082683128,882.925662246,8,-37.340710312
1.8000000000000012,9.96898798533,-0.0281917224366,0.0,0.311694743905,5.2145331981,0.0,17.3656642325,-0.828363176337,-13.1021605718,28.2758747529,-3.18954495899,0.0,898.58854711,884.286546905,13.8817588558,890.299779858,9,-37.5151361122
1.740000000000001,5.68716128685,0.724285949206,0.0,6.26554747656,5.73889189396,0.0,10.606724208,-0.686863201276,-14.1114713477,27.6643481671,-1.11914894347,0.0,898.316264809,890.246002482,41.6988471963,872.480720172,10,-36.0152248403
