time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4,episode,total_reward
1.8600000000000012,-1.83959757803,-0.965811769604,0.0,2.468492566,2.87764722013,0.0,-0.680083019249,-1.45449030011,-19.6350739533,-17.276907817,-12.3837862185,0.0,459.509290048,258.563392645,627.688783174,399.49903597,1,93.0
1.8600000000000012,-1.8581651089,-1.2546715273,0.0,2.11622167434,2.65361894612,0.0,-0.747581196979,-1.7384261072,-19.5753763868,-16.9621539444,-12.4139854104,0.0,454.989485902,263.473604571,621.867025181,399.803904519,2,93.0
2.1000000000000014,-11.8446832992,25.9620112976,0.0,5.57680328788,0.754674045543,0.0,-32.2347837814,17.4670259063,-19.1030691917,7.34681029888,0.18816844927,0.0,894.832941775,899.69482367,900.075908529,898.749065016,3,105.0
3.3600000000000025,-31.4824592222,-0.613419578476,0.0,1.33825386608,1.58663914529,0.0,-7.47732373631,-0.338831937959,-19.3711725985,-28.8223767092,16.4004868942,0.0,678.806845156,900.184178708,899.509659178,0.395725372434,4,168.0
2.4000000000000017,-4.57824201689,9.5728390777,0.0,2.83688833784,0.945625130126,0.0,-5.11374091222,4.10224340062,-20.722831465,-28.8327390899,-11.0692478371,0.0,900.262267247,829.867458353,899.85679881,-0.40495983967,5,120.0
2.4000000000000017,22.3355109546,9.03015055434,0.0,2.84797923453,3.03684181976,0.0,29.3666807351,4.82347220769,-18.3018407881,-28.8166265196,-3.71866063592,0.0,899.165113944,892.447566467,899.498831924,-0.153878108789,6,120.0
2.4600000000000017,13.0654693039,7.79642137763,0.0,1.07878460499,3.08689681772,0.0,10.7492493465,-1.43744027134,-20.5459100671,-28.849851033,-28.0788183169,0.0,870.018363333,0.23322111217,900.324422552,-0.356264244235,7,123.0
2.4000000000000017,3.87805844859,10.3862279697,0.0,2.80280574216,3.41420820281,0.0,5.46444382323,5.46846633786,-19.9266674028,-28.8342285101,-22.8928802335,0.0,899.880830535,543.265253122,900.038388863,-0.0653853956032,8,120.0
2.4000000000000017,-7.95603890662,9.0928386335,0.0,2.75968650382,5.00772862349,0.0,-11.1851030083,2.20282167874,-21.6773097618,-28.8410581061,-28.5166435146,0.0,899.791046013,6.48521180491,900.056791531,0.0626017649441,9,120.0
2.3400000000000016,-0.184328838477,10.0013214369,0.0,4.56588847853,0.419948365991,0.0,-9.87663509073,3.9330848706,-18.9163143524,-28.817299874,-8.83823220647,0.0,900.041876724,899.531810536,899.330410371,0.393776158038,10,117.0
2.3400000000000016,-1.97594897778,9.93675060597,0.0,4.54964712274,0.190632651154,0.0,-4.82815559828,6.34866323347,-20.5441280009,-28.83369542,19.895501573,0.0,75.4443253321,890.253511098,899.886678072,0.0767647445273,11,117.0
3.2400000000000024,-1.43197482949,0.487800857621,0.0,1.2412236476,1.49930069509,0.0,-0.193844341992,7.22974237386,-19.1776559787,-6.52619989965,7.92355740799,0.0,7.20572722134,38.1135145812,898.906978038,829.852389355,12,162.0
2.1000000000000014,-3.34994769454,-2.52254346089,0.0,5.24522090617,0.614767755958,0.0,-1.62775932346,-2.44429320939,-16.1305191713,-6.20243619637,3.32157871565,0.0,0.287167559953,0.550238859754,899.244409811,900.206362772,13,105.0
2.4000000000000017,-31.0752905587,10.7757764424,0.0,4.53159011358,6.212858662,0.0,-20.8981022381,6.15336193181,-22.7426609208,-28.7287848303,3.14144918621,0.0,0.543075428599,-0.0881229897163,899.964091661,-0.292912283149,14,120.0
1.9800000000000013,-26.0751584797,-1.66740817955,0.0,1.50058044179,5.7841067162,0.0,-16.4837057722,2.76305085056,-22.7626777103,-28.8043269451,-28.8213983174,0.0,899.625393601,0.345744092892,899.264774754,-0.3822708403,15,99.0
2.2800000000000016,-9.39534180421,-5.76074177294,0.0,4.40519766886,6.27942573748,0.0,-4.99676782921,-10.2542332887,-22.7022586658,-28.8430928649,-28.8379788618,0.0,900.007508987,-0.0537561440312,900.331380741,0.325209002319,16,114.0
2.1600000000000015,-9.20816305818,4.0310949873,0.0,5.94986500588,3.45074890607,0.0,-3.45320755075,6.6435867909,-23.2307435915,-28.8176567549,-28.8423426474,0.0,900.201908317,-0.492641787479,899.476249372,0.288262685926,17,108.0
3.960000000000003,-20.1686477819,-19.9242729353,0.0,1.50727954764,1.85096203688,0.0,-6.07634219833,-14.0040801127,-4.92231224301,-28.8278059707,-28.831670513,0.0,899.915731664,-0.599789274315,899.697767952,0.0233827413825,18,198.0
2.0400000000000014,-7.95776615656,2.44613911415,0.0,3.33217253726,0.648713995412,0.0,-4.18043711418,4.56911449119,-24.6841798037,-28.8417142789,-28.840175748,0.0,900.170213415,0.621387704295,900.0700948,0.772793794889,19,102.0
2.640000000000002,-22.9465705078,3.17429766075,0.0,1.09759663684,3.57147400709,0.0,-1.77610656881,1.16508811408,-19.8331064317,-28.8307792719,-2.30192672976,0.0,899.45139414,900.029881657,899.774511437,-0.568189196613,20,132.0
4.199999999999998,21.1796811485,66.0760577015,0.0,0.71993893049,6.21205590075,0.0,8.55856686096,27.8458464497,-15.8404955274,-28.8210468282,-0.0203600600367,0.0,900.11247634,899.787464782,899.731147355,0.874024515407,21,210.0
